latitude_bin0,longitude_bin0,algorithmrun_flag,cover,l2b_quality_flag,omega,rh100,landsat_treecover,urban_proportion,shot_number
41.29882850543414,-72.99147422213667,0,-9999.0,0,1.0,0,43.0,39,173890000200274263
41.299131926728556,-72.99092384657578,0,-9999.0,0,1.0,0,15.0,56,173890000200274264
41.29943564996823,-72.99037279324217,0,-9999.0,0,1.0,0,50.0,1,173890000200274265
41.29973906737206,-72.98982246037413,0,-9999.0,0,1.0,0,45.0,0,173890000200274266
41.300042763336094,-72.98927149007045,0,-9999.0,0,1.0,0,49.0,0,173890000200274267
41.30034644381778,-72.98872055608302,0,-9999.0,0,1.0,0,58.0,0,173890000200274268
41.30065000179281,-72.9881698990058,0,-9999.0,0,1.0,0,85.0,0,173890000200274269
41.300953795049196,-72.98761868476923,0,-9999.0,0,1.0,0,43.0,0,173890000200274270
41.30125729719476,-72.98706812438984,0,-9999.0,0,1.0,0,78.0,0,173890000200274271
41.30156105142921,-72.98651695508575,0,-9999.0,0,1.0,0,4.0,0,173890000200274272
41.30186456854648,-72.985966301124,0,-9999.0,0,1.0,0,31.0,0,173890000200274273
41.30216836878211,-72.98541495359393,0,-9999.0,0,1.0,0,0.0,0,173890000200274274
41.30247195771345,-72.98486404886782,0,-9999.0,0,1.0,0,0.0,0,173890000200274275
41.30277563261202,-72.98431289273687,0,-9999.0,0,1.0,0,0.0,0,173890000200274276
41.3030792994608,-72.98376169656682,0,-9999.0,0,1.0,0,0.0,0,173890000200274277
41.30338286768726,-72.983210662957,0,-9999.0,0,1.0,0,43.0,3,173890000200274278
41.30368655803299,-72.98265927461819,0,-9999.0,0,1.0,0,15.0,2,173890000200274279
41.30399004104523,-72.98210828736929,0,-9999.0,0,1.0,0,97.0,0,173890000200274280
41.30429362892342,-72.98155697241448,0,-9999.0,0,1.0,0,58.0,0,173890000200274281
41.304597081068785,-72.98100587930242,0,-9999.0,0,1.0,0,100.0,0,173890000200274282
41.30490063638141,-72.9804544495325,0,-9999.0,0,1.0,0,93.0,0,173890000200274283
41.305204150062906,-72.97990301149335,0,-9999.0,0,1.0,0,95.0,0,173890000200274284
41.305507586231855,-72.97935164933556,0,-9999.0,0,1.0,0,97.0,0,173890000200274285
41.30581103323125,-72.97880016784133,0,-9999.0,0,1.0,0,81.0,0,173890000200274286
41.3061142895588,-72.97824904131333,0,-9999.0,0,1.0,0,0.0,0,173890000200274287
41.30641772650582,-72.97769742040617,0,-9999.0,0,1.0,0,85.0,0,173890000200274288
41.30672103558836,-72.97714602712249,0,-9999.0,0,1.0,0,85.0,0,173890000200274289
41.30702436045171,-72.97659453779018,0,-9999.0,0,1.0,0,97.0,0,173890000200274290
41.30732759148032,-72.97604321529836,0,-9999.0,0,1.0,0,99.0,0,173890000200274291
41.30763091462469,-72.97549163811341,0,-9999.0,0,1.0,0,97.0,0,173890000200274292
41.30793415280792,-72.97494022434972,0,-9999.0,0,1.0,0,55.0,0,173890000200274293
41.30823741246514,-72.9743887371922,0,-9999.0,0,1.0,0,85.0,0,173890000200274294
41.30854068568338,-72.97383720349234,0,-9999.0,0,1.0,0,59.0,0,173890000200274295
41.30884378134712,-72.97328607386297,0,-9999.0,0,1.0,0,86.0,8,173890000200274296
41.30914705145563,-72.97273454346536,0,-9999.0,0,1.0,0,97.0,4,173890000200274297
41.309450240286374,-72.97218321233494,0,-9999.0,0,1.0,0,75.0,48,173890000200274298
41.30975354431189,-72.97163163453816,0,-9999.0,0,1.0,0,0.0,89,173890000200274299
41.31005662104319,-72.97108061165288,0,-9999.0,0,1.0,0,5.0,82,173890000200274300
41.31035985302293,-72.97052926732442,0,-9999.0,0,1.0,0,4.0,38,173890000200274301
41.31066307304446,-72.96997799686392,0,-9999.0,0,1.0,0,44.0,49,173890000200274302
41.31096634708591,-72.96942665699095,0,-9999.0,0,1.0,0,59.0,43,173890000200274303
41.311269644002174,-72.96887532828308,0,-9999.0,0,1.0,0,0.0,1,173890000200274304
41.31157279530797,-72.96832440904167,0,-9999.0,0,1.0,0,0.0,34,173890000200274305
41.31187613552961,-72.96777313473322,0,-9999.0,0,1.0,0,4.0,66,173890000200274306
41.312179262171924,-72.96722244475356,0,-9999.0,0,1.0,0,19.0,10,173890000200274307
41.31248268650464,-72.96667116554838,0,-9999.0,0,1.0,0,7.0,0,173890000200274308
41.31278590185892,-72.96612047069264,0,-9999.0,0,1.0,0,0.0,0,173890000200274309
41.31308926838288,-72.96556951730763,0,-9999.0,0,1.0,0,0.0,0,173890000200274310
41.3133925436374,-72.96501885644705,0,-9999.0,0,1.0,0,0.0,0,173890000200274311
41.31369594362623,-72.96446797770697,0,-9999.0,0,1.0,0,0.0,0,173890000200274312
41.3139994232987,-72.96391697464772,0,-9999.0,0,1.0,0,0.0,0,173890000200274313
41.31430270470232,-72.96336648053223,0,-9999.0,0,1.0,0,0.0,0,173890000200274314
41.314606127343296,-72.96281569917981,0,-9999.0,0,1.0,0,78.0,0,173890000200274315
41.31490942258458,-72.96226524149662,0,-9999.0,0,1.0,0,0.0,9,173890000200274316
41.3152128828946,-72.96171442091824,0,-9999.0,0,1.0,0,1.0,15,173890000200274317
41.31551627811191,-72.96116375934079,0,-9999.0,0,1.0,0,0.0,53,173890000200274318
41.31581968533251,-72.96061306771293,0,-9999.0,0,1.0,0,0.0,89,173890000200274319
41.31612299832336,-72.96006258201655,0,-9999.0,0,1.0,0,0.0,78,173890000200274320
41.316426401711546,-72.95951186435556,0,-9999.0,0,1.0,0,89.0,15,173890000200274321
41.31672982647665,-72.95896106376212,0,-9999.0,0,1.0,0,90.0,1,173890000200274322
41.31703315206743,-72.95841044934942,0,-9999.0,0,1.0,0,86.0,0,173890000200274323
41.317336601719894,-72.95785949383418,0,-9999.0,0,1.0,0,86.0,0,173890000200274324
41.31763980777994,-72.95730903736835,0,-9999.0,0,1.0,0,94.0,0,173890000200274325
41.31794320118722,-72.9567580727941,0,-9999.0,0,1.0,0,100.0,0,173890000200274326
41.31824644321568,-72.95620737333687,0,-9999.0,0,1.0,0,100.0,0,173890000200274327
41.31854979174329,-72.95565633150265,0,-9999.0,0,1.0,0,11.0,36,173890000200274328
41.3188530196695,-72.955105463023,0,-9999.0,0,1.0,0,0.0,74,173890000200274329
41.31915639496658,-72.95455415522763,0,-9999.0,0,1.0,0,0.0,91,173890000200274330
41.31945970758006,-72.95400288354794,0,-9999.0,0,1.0,0,0.0,90,173890000200274331
